What is apiculture?,Sheep farming,Fly farming,Beekeeping,Ant keeping,C,,
Which animal is often described as a chicken thief?,A dog,A fox,A sheep,A cat,B,,
Which kind of animal is a shark?,A fish,A mammal,A reptile,A bird,A,,
Where can you see the “Mona Lisa”?,At the Louvre Museum,At the Metropolitan Museum of Art,At Notre-Dame,At Disneyland Paris,A,,
What makes up a poem?,Verses,Sentences,Movements,Clauses,A,,
What is it called when dancers perform in front of an audience?,A concert,A spectacle,A show,A party,C,,
Whom does Alice follow down a hole?,A cat,A rabbit,A mad hatter,A mouse,B,,
What is Leonardo Da Vinci’s most famous painting?,The Mona Lisa,Guernica,The Scream,Poppy Field,A,,
How many books make up the Hunger Games series?,1,2,3,4,C,,
Who is Sirius Black to Harry Potter?,His father,His uncle,His godfather,His brother,C,,
In which video game did rapper Travis Scott give a virtual concert in 2020?,Grand Theft Auto V,League of Legends,Fortnite,Apex Legends,C,,
Which of these is a massive multiplayer online game?,Resident Evil 2,Final Fantasy VII Remake,Half-Life: Alyx,Minecraft,D,,
What is the virtual currency in Fortnite?,Fortnite Dollars,F-Bucks,V-Bucks,Euro-Bucks,C,,
Which manga is about Monkey D. Luffy’s life?,One Piece,Naruto,Fairy Tail,Attack on Titan,A,,
In which city was the king Clovis baptised?,Reims,Paris,London,Grenoble,A,,
Who built the Eiffel Tower?,Gustave Eiffel,Jean Eiffel,Louis Eiffel,Kevin Eiffel,A,,
What writing system did the Ancient Egyptians use?,Hieroglyphics,Cuneiform,The Greek alphabet,SMS,A,,
Which Ancient Greek leader conquered the Middle East?,Caesar,Napoleon I,Alexander the Great,Odysseus,C,,
In which year did Caesar win the battle of Alesia?,450 BC,52 BC,356 AD,52 AD,B,,
Which of these is not true about Beyoncé?,She was the voice of Nala in “The King Lion”,Her full name is Beyoncé Giselle Knowles,She sang “Chandelier”,Her nickname is Queen B,C,,
What is BTS short for in the name of the K-pop group?,Beneath The Sky,Beyond The Stars,Beautiful Time Scene,Bangtan Sonyeondan,D,,
Who sings “All I Want” in “High School Musical: The Musical: The Series”?,Olivia Rodrigo,Zac Efron,Vanessa Hudgens,Joshua Bassett,A,,
Which of these rappers released “Panini” in 2019 and “Radio” in 2020?,Snoop Dogg,Lil Nas X,Sean Combs,ASAP Rocky,B,,
In what year did the people of the United Kingdom vote in a referendum to leave the European Union?,1986,1996,2006,2016,D,,
Which American city is located near a fault line that causes regular earthquakes?,San Francisco,Boston,Dallas,New York,A,,
What comes out of a volcano?,Gases,Gemstones,Fire,Water,A,,
What language is spoken in Ireland?,French,Dutch,English,Portuguese,C,,
What fluid can be found inside of trees?,Blood,Water,Sap,Sugar,C,,
In which form is water invisible?,Vapor,Steam,Frost,Ice,A,,
Which of these words does not refer to a “state of matter” in physics?,Solid,Transparent,Liquid,Gas,B,,
What is a thin tube used to take liquid samples in a lab called?,A pipette,An epaulette,A barometer,An autoclave,A,,
Approximately how much of the Earth’s surface is covered by oceans?,7.1% of the surface,71% of the surface,3.5% of the surface,35% of the surface,B,,
What is the name of the sport played in water with a ball?,Waterproof,Water polo,Water ball,Splash ball,B,,
"How long does one of the halves of a football match take, not including extra time?",20 minutes,12 minutes,40 minutes,1 hour,B,,
Which part of the body are boxers not allowed to hit during a match?,The face,The chest,Below the belt,The gloves,C,,
What is the name of biggest ice hockey league in the world?,BHL,NHL,DHL,FHL,B,,
What kind of animal is a kiwi?,A fish,A bird,An insect,A fruit,B,,
"How is 1,000 written in Roman numerals?",C,L,D,M,D,,
What is the name of the virus that spread around the world in 2020 that forced several countries into confinement?,Covid-9,Covid-19,Covid-29,Covid-39,B,,
When is Independence Day celebrated in the United States?,July 4,July 14,July 24,July 31,A,,
Which Star Wars character got his own movie in 2018?,Luke Skywalker,Han Solo,R2-D2,C3PO,B,,
What is Iron Man’s real name?,Steve Rogers,Tony Stark,Peter Parker,Elon Musk,B,,
Which book adaptation was released straight to Disney+ in 2020?,The Chronicles of Narnia,Harry Potter,Eragon,Artemis Fowl,D,,
In which movie did singer Ed Sheeran play himself in 2019?,Tomorrow,Before,Yesterday,Next Week,C,,
Where can you find all the words in the French language?,In a motor,In a garage,In a dictionary,In a lamp,C,,
"In French, why does the letter c sometimes have a cedilla on it, as in façade?","To give it an ""S"" sound","To give it a ""K"" sound","To give it a ""Q"" sound",For no reason,A,,
What is the infinitive form of the verb in the following sentence: “The soccer player scored a goal”?,To score,Scoring,Scorer,Scores,A,,
What is the infinitive form of the verb in the following sentence: “She really likes beans”?,Really,Beans,To like,She,C,,
What do hedgehogs mainly eat?,Meat,Grass,Insects,Candy,C,,
Which of these animals is not nocturnal?,A dormouse,An owl,A bat,A swallow,D,,
What is apiculture?,Sheep farming,Fly farming,Beekeeping,Ant keeping,C,,
Which animal is often described as a chicken thief?,A dog,A fox,A sheep,A cat,B,,
Which kind of animal is a shark?,A fish,A mammal,A reptile,A bird,A,,
Where can you see the “Mona Lisa”?,At the Louvre Museum,At the Metropolitan Museum of Art,At Notre-Dame,At Disneyland Paris,A,,
What makes up a poem?,Verses,Sentences,Movements,Clauses,A,,
What is it called when dancers perform in front of an audience?,A concert,A spectacle,A show,A party,C,,
Whom does Alice follow down a hole?,A cat,A rabbit,A mad hatter,A mouse,B,,
What is Leonardo Da Vinci’s most famous painting?,The Mona Lisa,Guernica,The Scream,Poppy Field,A,,
How many books make up the Hunger Games series?,1,2,3,4,C,,
Who is Sirius Black to Harry Potter?,His father,His uncle,His godfather,His brother,C,,
In which video game did rapper Travis Scott give a virtual concert in 2020?,Grand Theft Auto V,League of Legends,Fortnite,Apex Legends,C,,
Which of these is a massive multiplayer online game?,Resident Evil 2,Final Fantasy VII Remake,Half-Life: Alyx,Minecraft,D,,
What is the virtual currency in Fortnite?,Fortnite Dollars,F-Bucks,V-Bucks,Euro-Bucks,C,,
Which manga is about Monkey D. Luffy’s life?,One Piece,Naruto,Fairy Tail,Attack on Titan,A,,
In which city was the king Clovis baptised?,Reims,Paris,London,Grenoble,A,,
Who built the Eiffel Tower?,Gustave Eiffel,Jean Eiffel,Louis Eiffel,Kevin Eiffel,A,,
What writing system did the Ancient Egyptians use?,Hieroglyphics,Cuneiform,The Greek alphabet,SMS,A,,
Which Ancient Greek leader conquered the Middle East?,Caesar,Napoleon I,Alexander the Great,Odysseus,C,,
In which year did Caesar win the battle of Alesia?,450 BC,52 BC,356 AD,52 AD,B,,
Which of these is not true about Beyoncé?,She was the voice of Nala in “The King Lion”,Her full name is Beyoncé Giselle Knowles,She sang “Chandelier”,Her nickname is Queen B,C,,
What is BTS short for in the name of the K-pop group?,Beneath The Sky,Beyond The Stars,Beautiful Time Scene,Bangtan Sonyeondan,D,,
Who sings “All I Want” in “High School Musical: The Musical: The Series”?,Olivia Rodrigo,Zac Efron,Vanessa Hudgens,Joshua Bassett,A,,
Which of these rappers released “Panini” in 2019 and “Radio” in 2020?,Snoop Dogg,Lil Nas X,Sean Combs,ASAP Rocky,B,,
In what year did the people of the United Kingdom vote in a referendum to leave the European Union?,1986,1996,2006,2016,D,,
Which American city is located near a fault line that causes regular earthquakes?,San Francisco,Boston,Dallas,New York,A,,
What comes out of a volcano?,Gases,Gemstones,Fire,Water,A,,
What language is spoken in Ireland?,French,Dutch,English,Portuguese,C,,
What fluid can be found inside of trees?,Blood,Water,Sap,Sugar,C,,
In which form is water invisible?,Vapor,Steam,Frost,Ice,A,,
Which of these words does not refer to a “state of matter” in physics?,Solid,Transparent,Liquid,Gas,B,,
What is a thin tube used to take liquid samples in a lab called?,A pipette,An epaulette,A barometer,An autoclave,A,,
Approximately how much of the Earth’s surface is covered by oceans?,7.1% of the surface,71% of the surface,3.5% of the surface,35% of the surface,B,,
What is the name of the sport played in water with a ball?,Waterproof,Water polo,Water ball,Splash ball,B,,
"How long does one of the halves of a football match take, not including extra time?",20 minutes,12 minutes,40 minutes,1 hour,B,,
Which part of the body are boxers not allowed to hit during a match?,The face,The chest,Below the belt,The gloves,C,,
What is the name of biggest ice hockey league in the world?,BHL,NHL,DHL,FHL,B,,
What kind of animal is a kiwi?,A fish,A bird,An insect,A fruit,B,,
"How is 1,000 written in Roman numerals?",C,L,D,M,D,,
What is the name of the virus that spread around the world in 2020 that forced several countries into confinement?,Covid-9,Covid-19,Covid-29,Covid-39,B,,
J,July 4,July 14,July 24,July 31,A,,
Which Star Wars character got his own movie in 2018?,Luke Skywalker,Han Solo,R2-D2,C3PO,B,,
What is Iron Man’s real name?,Steve Rogers,Tony Stark,Peter Parker,Elon Musk,B,,
Which book adaptation was released straight to Disney+ in 2020?,The Chronicles of Narnia,Harry Potter,Eragon,Artemis Fowl,D,,
In which movie did singer Ed Sheeran play himself in 2019?,Tomorrow,Before,Yesterday,Next Week,C,,
What is aspic in cooking?,A small fish,A one-bite appetizer,A cold dish in gelatin,A condiment,C,,
Which is these ingredients is used for the preparation of miso paste?,Brown kelp,Red beans,Soybeans,Tofu,C,,
During what celebration are mochis usually consumed in Japan?,New Year's Day,Hanami,Easter,Birthdays,A,,
From what Italian city does panettone come?,Naples,Rome,Milan,Venice,C,,
"What French celebrity chef born in 1945 was one of the chefs with the most stars in the world, with 32 stars?",Bernard Loiseau,Éric Frechon,Paul Bocuse,Joël Robuchon,D,,
From what country do spring rolls come?,Vietnam,China,Singapore,Indonesia,A,,
"In English, what is the German cake Schwarzwälder Kirschtorte called?",Black Forest cake,Bavarian cake,Cherry clafoutis,Strudel,A,,
What is a main ingredient in Scottish haggis?,Deer heart,Codfish liver,Sheep’s stomach,Sheep’s kidney,C,,
From what country does pho come?,Indonesia,Vietnam,Thailand,Laos,B,,
"In cooking, to what does an espuma refer?",A foam,A sauce,A cream,A condiment,A,,
What is the special ingredient used in the preparation of Lebanese basboussa?,Almond meal,Pistachio powder,Ground hazelnuts,Fairy dust,B,,
What kind of animal is Timon from “The Lion King”?,A coyote,A prairie dog,A giant squirrel,A meerkat,D,,
What animal shape does the fire spirit take in “Frozen 2”?,A chameleon,A salamander,A lizard,A fly,B,,
"What is the name of the prequel to “Monsters, Inc.”?","Monsters, Inc. 2",Monsters Company,Monsters & Co.,Monsters University,D,,
What number is painted on Lightning McQueen’s sides?,1,17,59,95,D,,
What breed are Aunt Sarah’s two cats in “Lady and the Tramp”?,Persian,Bengal,Siamese,Sphynx,C,,
What is written on the cookies that make Alice bigger when she eats them?,No touching,Make me bigger,Eat me,Nothing,C,,
What is the name of the chef at “Tony’s Restaurant” in “Lady and the Tramp”?,Tony,Joe,Alfred,Antonio,B,,
What animal is Honest John in the “Pinocchio” movie?,A cat,A fox,A dog,A wolf,B,,
"In “Snow White and the Seven Dwarfs”, which of these is not a dwarf?",Sneezy,Happy,Sleepy,Crabby,D,,
What is the name of the feline enemy of Cinderella’s two helper mice?,Dinah,Lucifer,Bruton,Br’er,B,,
"In 2020, which team holds the UEFA European Championship Cup?",France,Italy,Portugal,Spain,C,,
Which of these teams has never won the World Cup?,The Netherlands,France,Spain,Italy,A,,
Which player has been called FC Barcelona's best striker in official competitions?,Lionel Messi,Samuel Eto'o,Luis Suárez,Rivaldo,A,,
Which team won the UEFA Europa League in 2020?,Sevilla FC,Atlético Madrid,Arsenal FC,Chelsea FC,A,,
Which team defeated the French women's soccer team in the 2019 World Cup quarterfinals?,The United States,England,The Netherlands,Italy,A,,
What has the former UEFA cup been called since 2009?,The UEFA Europa League,The UEFA Champions League,The UEFA Super Cup,The UEFA World Cup,A,,
Which of these players didn't score a single goal in four different World Cups?,Pelé,Uwe Seeler,Zinédine Zidane,Cristiano Ronaldo,C,,
"On the field, which player is sometimes called the lone striker?",Winger,Center-forward,Second striker,Goalie,B,,
What country has never won a World Cup in women's soccer?,Germany,Norway,Japan,France,D,,
Which country will host the 2022 World Cup?,France,Qatar,Russia,Germany,B,,
What is the name of Ron Weasley’s rat?,Scabbers,Bruisers,Sleepers,Fighters,A,,
What actor never played the role of Albus Dumbledore in the movies?,Michael Gambon,Richard Harris,Ian McKellen,Jude Law,C,,
When was the first Harry Potter movie released?,1998,1999,2000,2001,D,,
Who gave Harry Potter his owl?,Rubeus Hagrid,Minerva McGonagall,Albus Dumbledore,Arthur Weasley,A,,
What animal hurt Draco Malfoy in Hagrid’s Care of Magical Creatures class?,Hagrid’s dog Fang,A baby dragon,A basilisk,A Hippogriff,D,,
Which of these Dursley family members does not exist?,Vernon,Dudley,Dolores,Petunia,C,,
Who created the Sorcerer's Stone?,Nicolas Flamel,Albus Dumbledore,Godric Gryffindor,Neville Longbottom,A,,
Who plays Lord Voldemort in the Harry Potter movies?,Colin Firth,Ralph Fiennes,Hugh Grant,Eddie Redmayne,B,,
What is a Mudblood?,Someone with two Muggle parents,Someone with one Muggle parent,Someone with unknown parents,Someone with two wizard parents,A,,
Who is the Half-Blood Prince?,James Potter,Draco Malfoy,Severus Snape,Albus Dumbledore,C,,
In what US city does “Tom Clancy’s The Division 2” take place?,"Washington, D.C.",New York City,Los Angeles,Las Vegas,A,,
Quantic Dream is known for “Detroit: Become Human” and “Beyond: Two Souls”. But what was the studio’s very first game?,The Nomad Soul,Fahrenheit,Heavy Rain,Until Dawn,A,,
Which of these “Sims 4” expansion packs does not exist?,Get Together,City Living,Get Famous,Into the Future,D,,
Which of these developers has never worked on a Tomb Raider game?,Core Design,Crystal Dynamics,Remedy,Eidos Montréal,C,,
Who developed “SimCity” and also cofounded Maxis?,Peter Molyneux,Will Wright,Éric Viennot,Jordan Mechner,B,,
"Until 2020, which project had raised the most money via crowdfunding?",Star Citizen,Prison Architect,Bloodstained,Shenmue III,A,,
What is the name of the Assassin’s Creed game where you can control a Viking?,Assassin's Creed: Vikings,Assassin's Creed: Valhalla,Assassin's Creed: Odin,Assassin's Creed: Drakkars,B,,
Who is the main protagonist of “Red Dead Redemption II”?,John Marston,Dutch van der Linde,Arthur Morgan,Bill Williamson,C,,
Which of these Pokémon is not legendary in “Pokémon Shield/Sword”?,Eternatus,Zamazenta,Gigalith,Zacian,C,,
"In the “Luigi’s Mansion” games, what is the name of the professor who gives the ghost vacuum to Luigi?",P. Venkman,E. Gadd,I. Findall,E. Glu,B,,
"In what work can you follow the adventures of Tatsumi Oga, nicknamed ""Mad Dog Oga"", in his Ishiyama high school?",Ultramarine Magmell,Beelzebub,Black Clover,Boruto,B,,
What American adaptation of a manga was distributed exclusively by Netflix?,Full Metal Alchemist,Edge of Tomorrow,Kenshin the Vagabond,Death Note,D,,
In what work do the Shinigamis send Hollows to the Soul Society?,Naruto,D.Gray-man,Bleach,Black Butler,C,,
"There is a curse in ""Fruits Basket"" that transforms certain characters into animals of the zodiac if they hug someone of the opposite sex. How many of these cursed characters are there?",8,9,12,15,C,,
"In ""Fruits Basket"", what animal does Kyo turn into?",A rat,A cat,A dog,A boar,B,,
"What is the name of the animated adaptation that returns to the original plot of the manga ""Full Metal Alchemist""?",Full Metal Alchemist,Full Metal Alchemist: Conqueror of Shamballa,Full Metal Alchemist: Brotherhood,Full Metal Alchemist: Dual Sympathy,C,,
"What is the Erza's last name in ""Fairy Tail""?",Heartfilia,Scarlett,Dragnir,Fullbuster,B,,
What manga takes place in the country of Clow?,Tsubasa: Reservoir Chronicle,Seven Deadly Sins,Gate,Red Eyes Sword,A,,
"In ""Pluto"", what is the name of the first victim in the case assigned to Detective Gesicht?",Mont Rouge,Mont Vert,Mont Jaune,Mont Blanc,D,,
"In ""20th Century Boys"", on what date is the world destined to come to an end?","December 31st, 2000","December 31st, 2001","December 31st, 2002","December 31st, 2003",A,,
"What is special about Claire Randall in the series ""Outlander""?",She can travel in time,She has mutant powers,She is the queen of the Outlands,She is blind,A,,
"The series ""Locke & Key"" is adapted...",From comics,From novels,From films,From fables,A,,
"What is the name of the continuation of the 2016 series ""The Young Pope""?",The Last Pope,The New Pope,The Best Pope,Young Pope Forever,B,,
"What is the name of the president in the 2004 series ""Battlestar Galactica""?",Barbara Roslin,Kara Roslin,Sarah Roslin,Laura Roslin,D,,
In what television series did rapper Childish Gambino play one of the main roles?,The Wire,Breaking Bad,Community,Watchmen,C,,
"In ""Money Heist"", who is Rio?",Anibal Cortés,Agata Jimenez,Daniel Ramos,Mirko Drakić,A,,
What is the first name of the title detective in the series “Columbo”?,Jack,Frank,Sully,Jean,B,,
"""The Office"" was a British series before being adapted for the United States. Who created and stars in this original version?",Martin Freeman,Ricky Gervais,Steve Carell,Rainn Wilson,B,,
What is the name of the television series that came out in 2008 based on the Terminator franchise?,Judgment Day,Battle Across Time,Rise of the Machines,The Sarah Connor Chronicles,D,,
"What other series from the Star Trek saga ""Star Trek: Picard"" recounts the continuation of the adventures of Jean-Luc Picard?",Discovery,The Next Generation,Deep Space Nine,Enterprise,B,,
Which poisonous gas has the formula CO?,Cobalt tetroxide,Chlorine oxide,Carbon monoxide,Calcium trioxide,C,,
CNN is an abbreviation for which media company?,Country's National News,Corporate News North,Channel News Now,Cable News Network,D,,
"Which of these words means ""a summary or outline of a book""?",Synopsis,Synergy,Syntax,Synod,A,,
The Hindu Kush is a mountain range on which continent?,Asia,Africa,Australia,Antarctica,A,,
"In the hospital, ""local"" is normally an abbreviation for what?",Local anaesthetic,Local scan,Local therapy,Local stitches,A,,
"In the ""Harry Potter"" stories, what kind of creature is Firenze?",Dragon,Centaur,Phoenix,Owl,B,,
Le Bourget Airport is in which city?,Paris,Brussels,Geneva,Rome,A,,
A ship's sails are usually made from which fabric?,Canvas,Felt,Hessian,Cashmere,A,,
Which of these is a thin cloth used as a medical dressing?,Hessian,Damask,Gauze,Brocade,C,,
"""Anglepoise"" is a type of which household item?",Mirror,Clock,Knife,Lamp,D,,
"What is the meaning of the French word ""rue""?",Mountain,Bread,Sauce,Street,D,,
"Rifle, pistol and running target are all events in which Olympic sport?",Shooting,Decathlon,Biathlon,Shot put,A,,
What specific term is given to the marathon and the 20 and 50 kilometer walking events?,Long-distance,Relays,Road events,Sprints,C,,
"What collective name is given to the group of countries comprising Belgium, The Netherlands and Luxembourg?",Netherlux,Luxembel,Benelux,Electrolux,C,,
The highest point in the hills to the east of Jerusalem is the Mount of...?,Oranges,Olives,Grapes,Nuts,B,,
Which sitcom launched Ashton Kutcher on the road to fame?,That '70s Show,What '80s Show,Which '90s Show,This '50s Show,A,,
Which powerful weapon did France test at Muroroa Atoll in the Pacific in 1973?,Nerve gas,Laser,Hydrogen bomb,Hybrid garlic bulb,C,,
"In April 2004, the golfer Phil Mickelson won his first what?",Wooden spoon,Sponsor,Major,Prize money,C,,
Lance Armstrong won his sixth consecutive what in 2004?,FA Cup medal,US Masters,Tour de France,Wimbledon,C,,
Whom did Henry V famously defeat at the Battle of Agincourt?,Germans,Irish,French,Scots,C,,
"Complete the title of Edward Gibbon's book, ""The Decline and Fall of the Roman ...""?",Restaurant,Man,Empire,Republic,C,,
Which crazy cartoon duck speaks with a pronounced lisp?,Quacky,Daffy,Drakey,Beaky,B,,
"The name of which mountain range is derived from the Nepalese for ""home of snow""?",Andes,Rockies,Himalayas,Cairngorms,C,,
Which author created the detectives Miss Marple and Hercule Poirot?,Arthur Conan Doyle,P.D. James,Raymond Chandler,Agatha Christie,D,,
How many witches are there in Shakespeare's 'Macbeth'?,Two,Three,Four,Thirteen,B,,
Which of these is a famous bridge in Venice?,Bridge of Moans,Bridge of Groans,Bridge of Whines,Bridge of Sighs,D,,
"Which word represents the letter ""T"" in the NATO alphabet?",Turnip,Tomato,Tango,Tortoise,C,,
Charles Schulz is most famous for drawing which cartoon strip?,The Far Side,Doonesbury,Dilbert,Peanuts,D,,
